review,rating,date,bank,source,translated_review,final_translation
Satisfied,5,2025-01-08,CBE,A Google user,Satisfied,Satisfied
It nice but some connection limitation,3,2025-01-08,CBE,A Google user,It nice but some connection limitation,It nice but some connection limitation
Ok. C,5,2025-01-08,CBE,A Google user,Ok. C,Ok. C
It's bestv forever!!,4,2025-01-08,CBE,A Google user,It's bestv forever!!,It's bestv forever!!
It is good app but not have statment 1 week 1 month only 2 days and it is not order by time,5,2025-01-08,CBE,A Google user,It is good app but not have statment 1 week 1 month only 2 days and it is not order by time,It is good app but not have statment 1 week 1 month only 2 days and it is not order by time
8 expriance,1,2025-01-08,CBE,A Google user,8 expriance,8 expriance
this app is very good,5,2025-01-08,CBE,A Google user,this app is very good,this app is very good
It fast and satisfied,5,2025-01-08,CBE,A Google user,It fast and satisfied,It fast and satisfied
Best app for the bank,5,2025-01-08,CBE,A Google user,Best app for the bank,Best app for the bank
best bank,5,2025-01-08,CBE,A Google user,best bank,best bank
Good challenge good.,5,2025-01-08,CBE,A Google user,Good challenge good.,Good challenge good.
👍👍👍👍 👍👍👍👍,3,2025-01-08,CBE,A Google user,,thumbs up thumbs up thumbs up thumbs up thumbs up thumbs up thumbs up thumbs up
Good,5,2025-01-08,CBE,A Google user,Good,Good
It is good,4,2025-01-07,CBE,A Google user,It is good,It is good
Best app I was but the message updated and it refused to work for me,5,2025-01-07,CBE,A Google user,Best app I was but the message updated and it refused to work for me,Best app I was but the message updated and it refused to work for me
Very nice app,5,2025-01-07,CBE,A Google user,Very nice app,Very nice app
It is good,5,2025-01-07,CBE,A Google user,It is good,It is good
More,5,2025-01-07,CBE,A Google user,More,More
Why do i have to close the developer option to use it. After the update it's not even working unless I close the developer option,1,2025-01-07,CBE,A Google user,Why do i have to close the developer option to use it. After the update it's not even working unless I close the developer option,Why do i have to close the developer option to use it. After the update it's not even working unless I close the developer option
❤❤😂😂,5,2025-01-07,CBE,A Google user,,laughing with tears laughing with tears
Atractive and easy to use,5,2025-01-07,CBE,A Google user,Atractive and easy to use,Atractive and easy to use
"You can not track your transaction history with correct date, time and order",1,2025-01-07,CBE,A Google user,"You can not track your transaction history with correct date, time and order","You can not track your transaction history with correct date, time and order"
Important,5,2025-01-07,CBE,A Google user,Important,Important
"Keep saying ""unable to connect"" after a normal phone update. Please update the app to match latest phone ""updates""",1,2025-01-06,CBE,A Google user,"Keep saying ""unable to connect"" after a normal phone update. Please update the app to match latest phone ""updates""","Keep saying ""unable to connect"" after a normal phone update. Please update the app to match latest phone ""updates"""
Sufiyan ahmade umara,5,2025-01-06,CBE,A Google user,Sufier Ahmade Umar,Sufiyan ahmade umara
It's simple and easy to use,1,2025-01-06,CBE,A Google user,It's simple and easy to use,It's simple and easy to use
Waw,5,2025-01-06,CBE,A Google user,Waw,Waw
I like this app,5,2025-01-06,CBE,A Google user,I like this app,I like this app
good,5,2025-01-06,CBE,A Google user,good,good
good app I like it,4,2025-01-06,CBE,A Google user,good app I like it,good app I like it
WOW,5,2025-01-06,CBE,A Google user,WOW,WOW
"i,ts not working, not good",1,2025-01-06,CBE,A Google user,"i,ts not working, not good","i,ts not working, not good"
Ok,5,2025-01-06,CBE,A Google user,Ok,Ok
Thank you free 2 years,4,2025-01-06,CBE,A Google user,Thank you free 2 years,Thank you free 2 years
Please Add A dark theme😭😭,1,2025-01-06,CBE,A Google user,Please Add A dark theme😭😭,Please Add A dark theme sobbing sobbing
Open,2,2025-01-06,CBE,A Google user,Open,Open
Good service,5,2025-01-06,CBE,A Google user,Good service,Good service
Abara,5,2025-01-06,CBE,A Google user,Represses,Abara
Best app,5,2025-01-06,CBE,A Google user,Best app,Best app
ABC 1234d,5,2025-01-06,CBE,A Google user,ABC 1234d,ABC 1234d
Good,5,2025-01-06,CBE,A Google user,Good,Good
I don't understand the reason why this app asks me to turn off my developer options whenever I try to log into the app 🙄 This issue immediately needs to be fixed. Why would I sacrifice my phone's performance to use only this app? It's ridiculous 😒,2,2025-01-06,CBE,A Google user,I don't understand the reason why this app asks me to turn off my developer options whenever I try to log into the app 🙄 This issue immediately needs to be fixed. Why would I sacrifice my phone's performance to use only this app? It's ridiculous 😒,I don't understand the reason why this app asks me to turn off my developer options whenever I try to log into the app This issue immediately needs to be fixed. Why would I sacrifice my phone's performance to use only this app? It's ridiculous
Teaching 12 years,5,2025-01-06,CBE,A Google user,Teaching 12 years,Teaching 12 years
excellent,5,2025-01-05,CBE,A Google user,excellent,excellent
I have been using it for a years and it is beautiful in i the time have been using it,1,2025-01-05,CBE,A Google user,I have been using it for a years and it is beautiful in i the time have been using it,I have been using it for a years and it is beautiful in i the time have been using it
Flexible & easy service,4,2025-01-05,CBE,A Google user,Flexible & easy service,Flexible & easy service
Not functional when i need a transactions,1,2025-01-05,CBE,A Google user,Not functional when i need a transactions,Not functional when i need a transactions
Merchant,5,2025-01-05,CBE,A Google user,Merchant,Merchant
Best,5,2025-01-05,CBE,A Google user,Best,Best
"The banks logo, the hidden accounts data are not seen. It is saying it saying unconnected and hence does not sync.",2,2025-01-05,CBE,A Google user,"The banks logo, the hidden accounts data are not seen. It is saying it saying unconnected and hence does not sync.","The banks logo, the hidden accounts data are not seen. It is saying it saying unconnected and hence does not sync."
Best,1,2025-01-05,CBE,A Google user,Best,Best
𝕓𝕖𝕥𝕒𝕞 𝕒𝕣𝕚𝕗𝕖 𝕟𝕖𝕨,4,2025-01-05,CBE,A Google user,𝕓𝕖𝕥𝕒𝕞 𝕒𝕣𝕚𝕗𝕖 𝕟𝕖𝕨,
Is not working for last update,1,2025-01-05,CBE,A Google user,Is not working for last update,Is not working for last update
Why is it asking me for developer option,1,2025-01-05,CBE,A Google user,Why is it asking me for developer option,Why is it asking me for developer option
"We need more update soon! once I updated it, it authomatically stop working😭",1,2025-01-05,CBE,A Google user,"We need more update soon! once I updated it, it authomatically stop working😭","We need more update soon! once I updated it, it authomatically stop working sobbing"
"Very slagish to operate, needs upgraded.",2,2025-01-05,CBE,A Google user,"Very slagish to operate, needs upgraded.","Very slagish to operate, needs upgraded."
Sayid hasien,5,2025-01-04,CBE,A Google user,Sayid Hasien,Sayid hasien
Very Goods 👍,5,2025-01-04,CBE,A Google user,Very Goods 👍,Very Goods thumbs up
good,1,2025-01-04,CBE,A Google user,good,good
Eas for use,5,2025-01-04,CBE,A Google user,Eas for use,Eas for use
It is good,4,2025-01-04,CBE,A Google user,It is good,It is good
It nice apps,2,2025-01-04,CBE,A Google user,It nice apps,It nice apps
It gives service great,5,2025-01-04,CBE,A Google user,It gives service great,It gives service great
Ahmedmohammed,5,2025-01-04,CBE,A Google user,Ahmedmohammed,Ahmedmohammed
Good service,5,2025-01-04,CBE,A Google user,Good service,Good service
Very nice,4,2025-01-04,CBE,A Google user,Very nice,Very nice
Wow,5,2025-01-04,CBE,A Google user,Wow,Wow
በጣም አሪፍ መገልጊያ ነው 👍,5,2025-01-04,CBE,A Google user,It's a great sign of cool,thumbs up
Why did this application stopped working at the moment,1,2025-01-04,CBE,A Google user,Why did this application stopped working at the moment,Why did this application stopped working at the moment
"The worst update seen in the bank industry for mobile banking. If you're unable to make it smooth and reliable at the same time , return it to previous version. It shows that you don't have the best expertise like other banks in the country.",1,2025-01-04,CBE,A Google user,"The worst update seen in the bank industry for mobile banking. If you're unable to make it smooth and reliable at the same time , return it to previous version. It shows that you don't have the best expertise like other banks in the country.","The worst update seen in the bank industry for mobile banking. If you're unable to make it smooth and reliable at the same time , return it to previous version. It shows that you don't have the best expertise like other banks in the country."
It's a very good fast service provider but at the moment the system is denying me,5,2025-01-04,CBE,A Google user,It's a very good fast service provider but at the moment the system is denying me,It's a very good fast service provider but at the moment the system is denying me
Very good,5,2025-01-04,CBE,A Google user,Very good,Very good
Good,5,2025-01-04,CBE,A Google user,Good,Good
Wuu fican lkn wali cilad ba haysata sodee ku xaliya wuxu I lahay the developer mode is turned muxu ka wada,5,2025-01-04,CBE,A Google user,Is fine lkn still holding a fault on the spectacle of the Developer Mode IS,Wuu fican lkn wali cilad ba haysata sodee ku xaliya wuxu I lahay the developer mode is turned muxu ka wada
Nice,4,2025-01-04,CBE,A Google user,Nice,Nice
It is fine,5,2025-01-04,CBE,A Google user,It is fine,It is fine
It's good nice job,5,2025-01-03,CBE,A Google user,It's good nice job,It's good nice job
መልካም ነው።,4,2025-01-03,CBE,A Google user,It's good.,
Good,5,2025-01-03,CBE,A Google user,Good,Good
Best app,5,2025-01-03,CBE,A Google user,Best app,Best app
3 year,3,2025-01-03,CBE,A Google user,3 year,3 year
Very good app forever,5,2025-01-03,CBE,A Google user,Very good app forever,Very good app forever
Nigatu Niguse,5,2025-01-03,CBE,A Google user,Nigged niguse,Nigatu Niguse
Thank u for the easy operating service .It made life simple and accurate.Keep it up!!!,4,2025-01-03,CBE,A Google user,Thank u for the easy operating service .It made life simple and accurate.Keep it up!!!,Thank u for the easy operating service .It made life simple and accurate.Keep it up!!!
ፕ9ፕ፸፻ሸሸቀቀዘጠዠቀቀሰቀረዠ፶፺፹ወከረረአ፻፯ክይልክ8ኡሽ9ፑፐክሰሰከአቀቀዘ፻ጰቀኡ7ፕሽክፕ፺ይዝ8ኡ87ብርፕ8ፕይፐኦጂጁጅእህፕይይ9ለሉ8ኡፕ9፱ፕ፵ክ977ሹ88ፕኢኦህከከፕል88ፕንኩክክኢኡጅሁይጉጎ8ጅይኢኢህኡይሽ9,5,2025-01-03,CBE,A Google user,ፕ9ፕ፸፻ሸሸቀቀዘጠዠቀቀሰቀረዠ፶፺፹ወከረረአ፻፯ክይልክ8ኡሽ9ፑፐክሰሰከአቀቀዘ፻ጰቀኡ7ፕሽክፕ፺ይዝ8ኡ87ብርፕ8ፕይፐኦጂጁጅእህፕይይ9ለሉ8ኡፕ9፱ፕ፵ክ977ሹ88ፕኢኦህከከፕል88ፕንኩክክኢኡጅሁይጉጎ8ጅይኢኢህኡይሽ9,98978878989977888889
This App The Best One,5,2025-01-03,CBE,A Google user,This App The Best One,This App The Best One
It's good,4,2025-01-03,CBE,A Google user,It's good,It's good
Developer option,2,2025-01-03,CBE,A Google user,Developer option,Developer option
🙏🙏🙏,4,2025-01-03,CBE,A Google user,,thank you thank you thank you
Good app,5,2025-01-03,CBE,A Google user,Good app,Good app
It's not working,1,2025-01-03,CBE,A Google user,It's not working,It's not working
Axc,5,2025-01-03,CBE,A Google user,APC,Axc
How i can divice developer mood off,5,2025-01-03,CBE,A Google user,How i can divice developer mood off,How i can divice developer mood off
Sand me naw,2,2025-01-03,CBE,A Google user,Sand me naw,Sand me naw
5 years,5,2025-01-03,CBE,A Google user,5 years,5 years
Wat is problem,5,2025-01-02,CBE,A Google user,Wat is problem,Wat is problem
The best app,5,2025-01-02,CBE,A Google user,The best app,The best app
Aliyi,5,2025-01-02,CBE,A Google user,It will not,Aliyi
Cammercial bank,4,2025-01-02,CBE,A Google user,Cammercial bank,Cammercial bank
TadeseD,5,2025-01-02,CBE,A Google user,TadeseD,TadeseD
Ok,5,2025-01-02,CBE,A Google user,Ok,Ok
Good app,5,2025-01-02,CBE,A Google user,Good app,Good app
Nice,5,2025-01-02,CBE,A Google user,Nice,Nice
What's your problem with developer option ???,1,2025-01-02,CBE,A Google user,What's your problem with developer option ???,What's your problem with developer option ???
Good,5,2025-01-02,CBE,A Google user,Good,Good
ጥሩ,5,2025-01-02,CBE,A Google user,ጥሩ,
Alert on,5,2025-01-02,CBE,A Google user,Alert on,Alert on
i can't access this app without turning off the developer option mode 🤬👎,1,2025-01-02,CBE,A Google user,i can't access this app without turning off the developer option mode 🤬👎,i can't access this app without turning off the developer option mode thumbs down
Always their is a mal function,1,2025-01-02,CBE,A Google user,Always their is a mal function,Always their is a mal function
WOW,5,2025-01-02,CBE,A Google user,WOW,WOW
2041 Habib tahir,5,2025-01-02,CBE,A Google user,2041 Habib Tahir,2041 Habib tahir
It slow and unused app,1,2025-01-02,CBE,A Google user,It slow and unused app,It slow and unused app
No speed to reload,5,2025-01-02,CBE,A Google user,No speed to reload,No speed to reload
Not working,1,2025-01-02,CBE,A Google user,Not working,Not working
Thanks for your,5,2025-01-02,CBE,A Google user,Thanks for your,Thanks for your
Ok,1,2025-01-02,CBE,A Google user,Ok,Ok
I am proud,5,2025-01-02,CBE,A Google user,I am proud,I am proud
Its not opening,5,2025-01-02,CBE,A Google user,Its not opening,Its not opening
👍👍,4,2025-01-01,CBE,A Google user,👍👍,thumbs up thumbs up
Comfrtable app,5,2025-01-01,CBE,A Google user,Comfrtable app,Comfrtable app
Its good,5,2025-01-01,CBE,A Google user,Its good,Its good
Very nice and fast app,5,2025-01-01,CBE,A Google user,Very nice and fast app,Very nice and fast app
Pelisce ubedat,5,2025-01-01,CBE,A Google user,Pelisce ubedat,Pelisce ubedat
"Simple bug fix, would help if current exchange rate is displayed on the app.",4,2025-01-01,CBE,A Google user,"Simple bug fix, would help if current exchange rate is displayed on the app.","Simple bug fix, would help if current exchange rate is displayed on the app."
good,2,2025-01-01,CBE,A Google user,good,good
"The not allowing the app while ""developer options"" is on needs to be fixed! Why the hell is an app telling me what to do with my own OS??? This is an unnecessary fix that needs to be fixed!!!",1,2025-01-01,CBE,A Google user,"The not allowing the app while ""developer options"" is on needs to be fixed! Why the hell is an app telling me what to do with my own OS??? This is an unnecessary fix that needs to be fixed!!!","The not allowing the app while ""developer options"" is on needs to be fixed! Why the hell is an app telling me what to do with my own OS??? This is an unnecessary fix that needs to be fixed!!!"
Update,2,2025-01-01,CBE,A Google user,Update,Update
"The recent update automatically turns the developers option on, and when one starts the app, a message pops up saying the app does not work with the developers option on. So, one has to go to the settings and manually turn the developers option off. Otherwise the app doesn't work.",3,2025-01-01,CBE,A Google user,"The recent update automatically turns the developers option on, and when one starts the app, a message pops up saying the app does not work with the developers option on. So, one has to go to the settings and manually turn the developers option off. Otherwise the app doesn't work.","The recent update automatically turns the developers option on, and when one starts the app, a message pops up saying the app does not work with the developers option on. So, one has to go to the settings and manually turn the developers option off. Otherwise the app doesn't work."
Very useful app,2,2025-01-01,CBE,A Google user,Very useful app,Very useful app
Good sistem,5,2025-01-01,CBE,A Google user,Good sistem,Good sistem
Best app,5,2025-01-01,CBE,A Google user,Best app,Best app
🙏,5,2025-01-01,CBE,A Google user,🙏,thank you
I like it for overall services,4,2025-01-01,CBE,A Google user,I like it for overall services,I like it for overall services
Good,5,2025-01-01,CBE,A Google user,Good,Good
Ok,5,2025-01-01,CBE,A Google user,Ok,Ok
When after updating the app it asked me to turn off developer mode how do i do that,4,2025-01-01,CBE,A Google user,When after updating the app it asked me to turn off developer mode how do i do that,When after updating the app it asked me to turn off developer mode how do i do that
nice,2,2025-01-01,CBE,A Google user,nice,nice
Arebu Haji,5,2025-01-01,CBE,A Google user,Hajj Arebu,Arebu Haji
Amzaa Abdalaa,5,2025-01-01,CBE,A Google user,Amza Abdala,Amzaa Abdalaa
Nice,5,2025-01-01,CBE,A Google user,Nice,Nice
Excellent!!!Keep it up!!!,5,2025-01-01,CBE,A Google user,Excellent!!!Keep it up!!!,Excellent!!!Keep it up!!!
Very good,5,2025-01-01,CBE,A Google user,Very good,Very good
Thats good for me,4,2025-01-01,CBE,A Google user,Thats good for me,Thats good for me
Working doing fastly,5,2025-01-01,CBE,A Google user,Working doing fastly,Working doing fastly
The poorest app,4,2025-01-01,CBE,A Google user,The poorest app,The poorest app
"The inconvenience of this app is that it requires developer options to be turned off. This hinders my ability to customize my phone as some of the customization can only be done in the developer options. Also, it didn't have this requirement before, so why now? And please return it how it was because this should not be an issue. Also, when a transaction is completed before it used to allow me to save the image of the completed transaction, now it doesn't, so please fix that also.",1,2025-01-01,CBE,A Google user,"The inconvenience of this app is that it requires developer options to be turned off. This hinders my ability to customize my phone as some of the customization can only be done in the developer options. Also, it didn't have this requirement before, so why now? And please return it how it was because this should not be an issue. Also, when a transaction is completed before it used to allow me to save the image of the completed transaction, now it doesn't, so please fix that also.","The inconvenience of this app is that it requires developer options to be turned off. This hinders my ability to customize my phone as some of the customization can only be done in the developer options. Also, it didn't have this requirement before, so why now? And please return it how it was because this should not be an issue. Also, when a transaction is completed before it used to allow me to save the image of the completed transaction, now it doesn't, so please fix that also."
Smart App,5,2025-01-01,CBE,A Google user,Smart App,Smart App
Worst update ever. It asked to disable the developer's option which they don't have any authority over. Most useless update ever. I wish I could give it a 0 star if it was possible. Why do you care about my phone's settings? Stupid developers. Should Switch to other banks.,1,2025-01-01,CBE,A Google user,Worst update ever. It asked to disable the developer's option which they don't have any authority over. Most useless update ever. I wish I could give it a 0 star if it was possible. Why do you care about my phone's settings? Stupid developers. Should Switch to other banks.,Worst update ever. It asked to disable the developer's option which they don't have any authority over. Most useless update ever. I wish I could give it a 0 star if it was possible. Why do you care about my phone's settings? Stupid developers. Should Switch to other banks.
Good,2,2025-01-01,CBE,A Google user,Good,Good
Muftearashide,5,2025-01-01,CBE,A Google user,Muftearashide,Muftearashide
Wow wonderful app thank you so much.,4,2025-01-01,CBE,A Google user,Wow wonderful app thank you so much.,Wow wonderful app thank you so much.
Cbe,5,2025-01-01,CBE,A Google user,Cbe,Cbe
Best,4,2025-01-01,CBE,A Google user,Best,Best
I appreciate you,5,2025-01-01,CBE,A Google user,I appreciate you,I appreciate you
It ask me your developer mode is on and its not working for me???,1,2024-12-31,CBE,A Google user,It ask me your developer mode is on and its not working for me???,It ask me your developer mode is on and its not working for me???
Exellent,5,2024-12-31,CBE,A Google user,Exellent,Exellent
opn,5,2024-12-31,CBE,A Google user,opn,opn
Wwŵw,5,2024-12-31,CBE,A Google user,Wwww,Www
The last update is useless!!,1,2024-12-31,CBE,A Google user,The last update is useless!!,The last update is useless!!
It is varey good,5,2024-12-31,CBE,A Google user,It is varey good,It is varey good
Hi Hi Hi,5,2024-12-31,CBE,A Google user,Hi Hi Hi,Hi Hi Hi
Good very,3,2024-12-31,CBE,A Google user,Good very,Good very
Awesom,5,2024-12-31,CBE,A Google user,Awesom,Awesom
Ok,4,2024-12-31,CBE,A Google user,Ok,Ok
Excellent job.,5,2024-12-31,CBE,A Google user,Excellent job.,Excellent job.
Security,1,2024-12-31,CBE,A Google user,Security,Security
Batam arf new,5,2024-12-31,CBE,A Google user,Batam Arf New,Batam arf new
I like you this App..,5,2024-12-31,CBE,A Google user,I like you this App..,I like you this App..
Nice,5,2024-12-31,CBE,A Google user,Nice,Nice
Its good app,1,2024-12-31,CBE,A Google user,Its good app,Its good app
It is and better than *889#.,5,2024-12-31,CBE,A Google user,It is and better than *889#.,It is and better than *889#.
The update isn't working,1,2024-12-31,CBE,A Google user,The update isn't working,The update isn't working
Very good,5,2024-12-31,CBE,A Google user,Very good,Very good
"No text, no update.....",1,2024-12-31,CBE,A Google user,"No text, no update.....","No text, no update....."
No installed,5,2024-12-31,CBE,A Google user,No installed,No installed
Ok,5,2024-12-31,CBE,A Google user,Ok,Ok
Wow,5,2024-12-31,CBE,A Google user,Wow,Wow
🙏🙏,5,2024-12-31,CBE,A Google user,🙏🙏,thank you thank you
"As an app developer, I rely on Developer Mode to build and test apps, but this app blocks access entirely if it's enabled. This restriction is unnecessary and makes it impossible for developers to use the service. Instead of outright blocking, consider implementing enhanced security measures that don't alienate professionals who need this setting. Please reconsider this policy.",2,2024-12-31,CBE,A Google user,"As an app developer, I rely on Developer Mode to build and test apps, but this app blocks access entirely if it's enabled. This restriction is unnecessary and makes it impossible for developers to use the service. Instead of outright blocking, consider implementing enhanced security measures that don't alienate professionals who need this setting. Please reconsider this policy.","As an app developer, I rely on Developer Mode to build and test apps, but this app blocks access entirely if it's enabled. This restriction is unnecessary and makes it impossible for developers to use the service. Instead of outright blocking, consider implementing enhanced security measures that don't alienate professionals who need this setting. Please reconsider this policy."
It's really helpful,1,2024-12-31,CBE,A Google user,It's really helpful,It's really helpful
Sales person,3,2024-12-31,CBE,A Google user,Sales person,Sales person
CBE,5,2024-12-31,CBE,A Google user,CBE,CBE
It's good,5,2024-12-31,CBE,A Google user,It's good,It's good
cbe noor,5,2024-12-31,CBE,A Google user,cbe noor,cbe noor
No work on my device,5,2024-12-31,CBE,A Google user,No work on my device,No work on my device
nayis,4,2024-12-30,CBE,A Google user,nayis,nayis
not convinet in slow Nw,5,2024-12-30,CBE,A Google user,not convinet in slow Nw,not convinet in slow Nw
Weak update ! . b/c it stops when I want to set two step verification on. And it is only applicable if developer options are on. Why ??? Please tell me the reason 🙏,1,2024-12-30,CBE,A Google user,Weak update ! . b/c it stops when I want to set two step verification on. And it is only applicable if developer options are on. Why ??? Please tell me the reason 🙏,Weak update ! . b/c it stops when I want to set two step verification on. And it is only applicable if developer options are on. Why ??? Please tell me the reason thank you
Why I not used on these devices,5,2024-12-30,CBE,A Google user,Why I not used on these devices,Why I not used on these devices
Very very good,5,2024-12-30,CBE,A Google user,Very very good,Very very good
Apdates went to dismiss the developer option,2,2024-12-30,CBE,A Google user,Apdates went to dismiss the developer option,Apdates went to dismiss the developer option
"Best Mobile-Banking app! Moreover, I will rate 5 stars as soon as you add ""account statement display"" menu in it. Hopefully waiting, Thank you in advance!",4,2024-12-30,CBE,A Google user,"Best Mobile-Banking app! Moreover, I will rate 5 stars as soon as you add ""account statement display"" menu in it. Hopefully waiting, Thank you in advance!","Best Mobile-Banking app! Moreover, I will rate 5 stars as soon as you add ""account statement display"" menu in it. Hopefully waiting, Thank you in advance!"
Updater,5,2024-12-30,CBE,A Google user,Updater,Updater
Wowwwwwwwweed,5,2024-12-30,CBE,A Google user,Wowwwwwwwweed,Wowwwwwwwweed
Great app,5,2024-12-30,CBE,A Google user,Great app,Great app
Amazing app,4,2024-12-30,CBE,A Google user,Amazing app,Amazing app
Best application,5,2024-12-30,CBE,A Google user,Best application,Best application
Even it is a problem to update the app. Fix the issue first,1,2024-12-30,CBE,A Google user,Even it is a problem to update the app. Fix the issue first,Even it is a problem to update the app. Fix the issue first
olanaa mulugeta,5,2024-12-30,CBE,A Google user,Olanaa Mulugeta,olanaa mulugeta
Like,4,2024-12-30,CBE,A Google user,Like,Like
Any,1,2024-12-30,CBE,A Google user,Any,Any
God appes,5,2024-12-30,CBE,A Google user,God appes,God appes
ምንም አትሉም,5,2024-12-30,CBE,A Google user,You say nothing,
gud,5,2024-12-30,CBE,A Google user,gud,gud
"The review page keeps loading, and even sync is completed. The history page always shows old/unknown transactions. ...... Edited: I guess the loading page means it expires and needs to go to the nearest bank and ask for an extension for another 3 years. Upgrade to 3 stars .",3,2024-12-30,CBE,A Google user,"The review page keeps loading, and even sync is completed. The history page always shows old/unknown transactions. ...... Edited: I guess the loading page means it expires and needs to go to the nearest bank and ask for an extension for another 3 years. Upgrade to 3 stars .","The review page keeps loading, and even sync is completed. The history page always shows old/unknown transactions. ...... Edited: I guess the loading page means it expires and needs to go to the nearest bank and ask for an extension for another 3 years. Upgrade to 3 stars ."
"Simple, Easy platform",5,2024-12-30,CBE,A Google user,"Simple, Easy platform","Simple, Easy platform"
Good,5,2024-12-30,CBE,A Google user,Good,Good
Pure & secure I like it,5,2024-12-30,CBE,A Google user,Pure & secure I like it,Pure & secure I like it
More than 10years,5,2024-12-30,CBE,A Google user,More than 10years,More than 10years
እየሰራልኝ አደለም,5,2024-12-30,CBE,A Google user,He calls me,
Best app,2,2024-12-30,CBE,A Google user,Best app,Best app
ታንክስ,5,2024-12-30,CBE,A Google user,Tanx,
Nice,5,2024-12-29,CBE,A Google user,Nice,Nice
Very good,5,2024-12-29,CBE,A Google user,Very good,Very good
Good,5,2024-12-29,CBE,A Google user,Good,Good
AsenafeDemelee,2,2024-12-29,CBE,A Google user,They are Naferatee,AsenafeDemelee
Good,3,2024-12-29,CBE,A Google user,Good,Good
13 years ecxepiranes,5,2024-12-29,CBE,A Google user,13 years ecxepiranes,13 years ecxepiranes
Best app from any others app,5,2024-12-29,CBE,A Google user,Best app from any others app,Best app from any others app
good,5,2024-12-29,CBE,A Google user,good,good
Student,1,2024-12-29,CBE,A Google user,Student,Student
It's very Simple and useful for customer and also easier from other options of this Bank but its hard sometimes when the net work is bussy and inquiry some add update from the Branch technical stuff when you want this application for critical case the application was inquiring you un wanted update,5,2024-12-29,CBE,A Google user,It's very Simple and useful for customer and also easier from other options of this Bank but its hard sometimes when the net work is bussy and inquiry some add update from the Branch technical stuff when you want this application for critical case the application was inquiring you un wanted update,It's very Simple and useful for customer and also easier from other options of this Bank but its hard sometimes when the net work is bussy and inquiry some add update from the Branch technical stuff when you want this application for critical case the application was inquiring you un wanted update
Good,4,2024-12-29,CBE,A Google user,Good,Good
ለተሻለ ቅልጥፍናሸ,5,2024-12-29,CBE,A Google user,For better fluid,
Abraham hailu ara,5,2024-12-29,CBE,A Google user,Abraham Hailu Ara,Abraham hailu ara
Hiio,2,2024-12-29,CBE,A Google user,Hi,Hiio
This app is best if you add fingerprint or facial authentication instead of the current one.,5,2024-12-29,CBE,A Google user,This app is best if you add fingerprint or facial authentication instead of the current one.,This app is best if you add fingerprint or facial authentication instead of the current one.
I like this application,4,2024-12-29,CBE,A Google user,I like this application,I like this application
I love it,5,2024-12-29,CBE,A Google user,I love it,I love it
good app,4,2024-12-29,CBE,A Google user,good app,good app
በጣም አሪፍ,2,2024-12-29,CBE,A Google user,so nice,
Best quality servic,5,2024-12-29,CBE,A Google user,Best quality servic,Best quality servic
your service is very very nice,5,2024-12-29,CBE,A Google user,your service is very very nice,your service is very very nice
sintayohu sirika,5,2024-12-29,CBE,A Google user,Kuntay Jehoika,sintayohu sirika
Good,5,2024-12-28,CBE,A Google user,Good,Good
Very good,5,2024-12-28,CBE,A Google user,Very good,Very good
the worst app i have ever seen,1,2024-12-28,CBE,A Google user,the worst app i have ever seen,the worst app i have ever seen
it is best uplication Which i real on,5,2024-12-28,CBE,A Google user,it is best uplication Which i real on,it is best uplication Which i real on
Why we can't make a transfer with foreign banks?,1,2024-12-28,CBE,A Google user,Why we can't make a transfer with foreign banks?,Why we can't make a transfer with foreign banks?
The worst update,1,2024-12-28,CBE,A Google user,The worst update,The worst update
yes important,5,2024-12-27,CBE,A Google user,yes important,yes important
Not flexible,2,2024-12-27,CBE,A Google user,Not flexible,Not flexible
Nice,5,2024-12-27,CBE,A Google user,Nice,Nice
looks great but it has no option for accessing our transaction history....for some days back ...this makes our work bad,5,2024-12-27,CBE,A Google user,looks great but it has no option for accessing our transaction history....for some days back ...this makes our work bad,looks great but it has no option for accessing our transaction history....for some days back ...this makes our work bad
"Everything is good except that it's asking me for update too much even though I updated the app many times and still mentioning that ""it is critical update"" so pls fix that",4,2024-12-27,CBE,A Google user,"Everything is good except that it's asking me for update too much even though I updated the app many times and still mentioning that ""it is critical update"" so pls fix that","Everything is good except that it's asking me for update too much even though I updated the app many times and still mentioning that ""it is critical update"" so pls fix that"
Difficult to update,1,2024-12-27,CBE,A Google user,Difficult to update,Difficult to update
You should be boa b/c the app active by self so please 🙏 arrange now and for activation service l was pay 20 birr this is unfair,1,2024-12-27,CBE,A Google user,You should be boa b/c the app active by self so please 🙏 arrange now and for activation service l was pay 20 birr this is unfair,You should be boa b/c the app active by self so please thank you arrange now and for activation service l was pay 20 birr this is unfair
simplest app. that i have ever used..,5,2024-12-27,CBE,A Google user,simplest app. that i have ever used..,simplest app. that i have ever used..
"This app is the best, easy and more clear to use including its features to understand so i liked it 100% because the app made the life of customers easy. Thanks cbe and the app.",5,2024-12-27,CBE,A Google user,"This app is the best, easy and more clear to use including its features to understand so i liked it 100% because the app made the life of customers easy. Thanks cbe and the app.","This app is the best, easy and more clear to use including its features to understand so i liked it 100% because the app made the life of customers easy. Thanks cbe and the app."
Nice 👍 app 💯 🙏,5,2024-12-26,CBE,A Google user,Nice 👍 app 💯 🙏,Nice thumbs up app hundred points thank you
